accession,label,protein_name,gene_name,organism,seq_length,keywords
P28827,1,Receptor-type tyrosine-protein phosphatase mu,PTPRM,Homo sapiens,1452,3D-structure; Alternative splicing; Cell adhesion; Cell membrane; Disulfide bond; Glycoprotein; Hydrolase; Immunoglobulin domain; Membrane; Phosphoprotein; Protein phosphatase; Proteomics identification; Receptor; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix
P28908,1,Tumor necrosis factor receptor superfamily member 8,TNFRSF8,Homo sapiens,595,3D-structure; Alternative initiation; Alternative splicing; Cell membrane; Cytoplasm; Disulfide bond; Glycoprotein; Membrane; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix
P29323,1,Ephrin type-B receptor 2,EPHB2,Homo sapiens,1055,3D-structure; Alternative splicing; ATP-binding; Cell membrane; Cell projection; Developmental protein; Disease variant; Disulfide bond; Glycoprotein; Isopeptide bond; Kinase; Membrane; Neurogenesis; Nucleotide-binding; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Repeat; Signal; Transferase; Transmembrane; Transmembrane helix; Tumor suppressor; Tyrosine-protein kinase; Ubl conjugation
P30411,1,B2 bradykinin receptor,BDKRB2,Homo sapiens,391,3D-structure; Alternative splicing; Cell membrane; Direct protein sequencing; Disulfide bond; G-protein coupled receptor; Glycoprotein; Lipoprotein; Membrane; Palmitate; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
P30511,1,"HLA class I histocompatibility antigen, alpha chain F",HLA-F,Homo sapiens,346,3D-structure; Alternative splicing; Cell membrane; Disulfide bond; Endosome; Glycoprotein; Immunity; Lysosome; Membrane; MHC I; Proteomics identification; Reference proteome; Signal; Transmembrane; Transmembrane helix
P30531,1,Sodium- and chloride-dependent GABA transporter 1,SLC6A1,Homo sapiens,599,3D-structure; Cell membrane; Cell projection; Disease variant; Disulfide bond; Epilepsy; Glycoprotein; Membrane; Metal-binding; Neurotransmitter transport; Phosphoprotein; Proteomics identification; Reference proteome; Sodium; Symport; Synapse; Transmembrane; Transmembrane helix; Transport
P30556,1,Type-1 angiotensin II receptor,AGTR1,Homo sapiens,359,3D-structure; Cell membrane; Disease variant; Disulfide bond; G-protein coupled receptor; Glycoprotein; Host-virus interaction; Lipoprotein; Membrane; Palmitate; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
P30559,1,Oxytocin receptor,OXTR,Homo sapiens,389,3D-structure; Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Membrane; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
P30939,1,5-hydroxytryptamine receptor 1F,HTR1F,Homo sapiens,366,3D-structure; Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Membrane; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
P30988,1,Calcitonin receptor,CALCR,Homo sapiens,474,3D-structure; Alternative promoter usage; Alternative splicing; Cell membrane; Direct protein sequencing; Disulfide bond; G-protein coupled receptor; Glycoprotein; Membrane; Proteomics identification; Receptor; Reference proteome; Signal; Transducer; Transmembrane; Transmembrane helix
P31644,1,Gamma-aminobutyric acid receptor subunit alpha-5,GABRA5,Homo sapiens,462,3D-structure; Cell membrane; Chloride; Chloride channel; Disease variant; Disulfide bond; Epilepsy; Glycoprotein; Ion channel; Ion transport; Isopeptide bond; Ligand-gated ion channel; Membrane; Postsynaptic cell membrane; Proteomics identification; Receptor; Reference proteome; Signal; Synapse; Transmembrane; Transmembrane helix; Transport; Ubl conjugation
P31995,1,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C,Homo sapiens,323,3D-structure; Alternative splicing; Cell membrane; Cytoplasm; Disulfide bond; Glycoprotein; IgG-binding protein; Immunoglobulin domain; Membrane; Phosphoprotein; Receptor; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix
P32004,1,Neural cell adhesion molecule L1,L1CAM,Homo sapiens,1257,3D-structure; Alternative splicing; Cell adhesion; Cell membrane; Cell projection; Developmental protein; Differentiation; Direct protein sequencing; Disease variant; Disulfide bond; Glycoprotein; Hereditary spastic paraplegia; Hirschsprung disease; Immunoglobulin domain; Intellectual disability; Membrane; Neurodegeneration; Neurogenesis; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix
P32238,1,Cholecystokinin receptor type A,CCKAR,Homo sapiens,428,3D-structure; Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Lipoprotein; Membrane; Palmitate; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
P32245,1,Melanocortin receptor 4,MC4R,Homo sapiens,332,3D-structure; Calcium; Cell membrane; Disease variant; Disulfide bond; G-protein coupled receptor; Glycoprotein; Lipoprotein; Membrane; Obesity; Palmitate; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
P32247,1,Bombesin receptor subtype-3,BRS3,Homo sapiens,399,3D-structure; Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Lipoprotein; Membrane; Palmitate; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
P32926,1,Desmoglein-3,DSG3,Homo sapiens,999,3D-structure; Calcium; Cell adhesion; Cell junction; Cell membrane; Cleavage on pair of basic residues; Cytoplasm; Glycoprotein; Membrane; Metal-binding; Proteomics identification; Reference proteome; Repeat; Signal; Tight junction; Transmembrane; Transmembrane helix
P34903,1,Gamma-aminobutyric acid receptor subunit alpha-3,GABRA3,Homo sapiens,492,3D-structure; Cell membrane; Chloride; Chloride channel; Disease variant; Disulfide bond; Epilepsy; Glycoprotein; Ion channel; Ion transport; Ligand-gated ion channel; Membrane; Phosphoprotein; Postsynaptic cell membrane; Proteomics identification; Receptor; Reference proteome; Signal; Synapse; Transmembrane; Transmembrane helix; Transport
P34969,1,5-hydroxytryptamine receptor 7,HTR7,Homo sapiens,479,3D-structure; Alternative splicing; Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Lipoprotein; Membrane; Palmitate; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
P34998,1,Corticotropin-releasing factor receptor 1,CRHR1,Homo sapiens,415,3D-structure; Alternative splicing; Cell membrane; Direct protein sequencing; Disulfide bond; Endosome; G-protein coupled receptor; Glycoprotein; Membrane; Phosphoprotein; Receptor; Reference proteome; Signal; Transducer; Transmembrane; Transmembrane helix
P35348,1,Alpha-1A adrenergic receptor,ADRA1A,Homo sapiens,466,3D-structure; Alternative splicing; Cell membrane; Cytoplasm; Disulfide bond; G-protein coupled receptor; Glycoprotein; Lipoprotein; Membrane; Nucleus; Palmitate; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
P35368,1,Alpha-1B adrenergic receptor,ADRA1B,Homo sapiens,520,Cell membrane; Cytoplasm; Disulfide bond; G-protein coupled receptor; Glycoprotein; Lipoprotein; Membrane; Nucleus; Palmitate; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
P35613,1,Basigin,BSG,Homo sapiens,385,3D-structure; Alternative promoter usage; Alternative splicing; Angiogenesis; Blood group antigen; Cell membrane; Cell projection; Direct protein sequencing; Disulfide bond; Endoplasmic reticulum; Endosome; Glycoprotein; Host cell receptor for virus entry; Host-virus interaction; Immunoglobulin domain; Lectin; Mannose-binding; Membrane; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Signal; Transmembrane; Transmembrane helix
P36383,1,Gap junction gamma-1 protein,GJC1,Homo sapiens,396,3D-structure; Cell junction; Cell membrane; Gap junction; Immunity; Innate immunity; Membrane; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix
P36894,1,Bone morphogenetic protein receptor type-1A,BMPR1A,Homo sapiens,532,3D-structure; ATP-binding; Cell membrane; Disease variant; Disulfide bond; Glycoprotein; Kinase; Magnesium; Manganese; Membrane; Metal-binding; Nucleotide-binding; Proteomics identification; Receptor; Reference proteome; Serine/threonine-protein kinase; Signal; Transferase; Transmembrane; Transmembrane helix
P40238,1,Thrombopoietin receptor,MPL,Homo sapiens,635,3D-structure; Alternative splicing; Cell membrane; Disease variant; Disulfide bond; Glycoprotein; Golgi apparatus; Isopeptide bond; Membrane; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix; Ubl conjugation
P42261,1,Glutamate receptor 1,GRIA1,Homo sapiens,906,3D-structure; Alternative splicing; Cell membrane; Cell projection; Disease variant; Disulfide bond; Endoplasmic reticulum; Endosome; Glycoprotein; Intellectual disability; Ion channel; Ion transport; Ligand-gated ion channel; Lipoprotein; Membrane; Palmitate; Phosphoprotein; Postsynaptic cell membrane; Proteomics identification; Receptor; Reference proteome; Signal; Synapse; Transmembrane; Transmembrane helix; Transport
P42262,1,Glutamate receptor 2,GRIA2,Homo sapiens,883,3D-structure; Alternative splicing; Autism spectrum disorder; Cell membrane; Disease variant; Disulfide bond; Epilepsy; Glycoprotein; Intellectual disability; Ion channel; Ion transport; Ligand-gated ion channel; Lipoprotein; Membrane; Palmitate; Phosphoprotein; Postsynaptic cell membrane; Proteomics identification; Receptor; Reference proteome; RNA editing; Signal; Synapse; Transmembrane; Transmembrane helix; Transport; Ubl conjugation
P42702,1,Leukemia inhibitory factor receptor,LIFR,Homo sapiens,1097,3D-structure; Alternative splicing; Cell membrane; Chromosomal rearrangement; Disease variant; Disulfide bond; Glycoprotein; Membrane; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Repeat; Secreted; Signal; Transmembrane; Transmembrane helix
P42892,1,Endothelin-converting enzyme 1,ECE1,Homo sapiens,770,3D-structure; Alternative splicing; Cell membrane; Disease variant; Disulfide bond; Glycoprotein; Hirschsprung disease; Hydrolase; Membrane; Metal-binding; Metalloprotease; Phosphoprotein; Protease; Proteomics identification; Reference proteome; Signal-anchor; Transmembrane; Transmembrane helix; Zinc
P43115,1,Prostaglandin E2 receptor EP3 subtype,PTGER3,Homo sapiens,390,3D-structure; Alternative splicing; Cell membrane; G-protein coupled receptor; Glycoprotein; Lipoprotein; Membrane; Palmitate; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
P46091,1,Chemerin-like receptor 2,CMKLR2,Homo sapiens,355,3D-structure; Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Membrane; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
P46092,1,C-C chemokine receptor type 10,CCR10,Homo sapiens,362,Cell membrane; Disulfide bond; G-protein coupled receptor; Membrane; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
P46095,1,G-protein coupled receptor 6,GPR6,Homo sapiens,362,3D-structure; Alternative splicing; Cell membrane; G-protein coupled receptor; Glycoprotein; Lipoprotein; Membrane; Palmitate; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
P46531,1,Neurogenic locus notch homolog protein 1,NOTCH1,Homo sapiens,2555,3D-structure; Activator; Angiogenesis; ANK repeat; Calcium; Cell membrane; Developmental protein; Differentiation; Direct protein sequencing; Disease variant; Disulfide bond; EGF-like domain; Endosome; Glycoprotein; Hydroxylation; Isopeptide bond; Membrane; Metal-binding; Notch signaling pathway; Nucleus; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Repeat; Signal; Transcription; Transcription regulation; Transmembrane; Transmembrane helix; Ubl conjugation
P46721,1,Solute carrier organic anion transporter family member 1A2,SLCO1A2,Homo sapiens,670,Alternative splicing; Cell membrane; Disulfide bond; Glycoprotein; Ion transport; Lipid transport; Membrane; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport
P47901,1,Vasopressin V1b receptor,AVPR1B,Homo sapiens,424,Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Membrane; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
P48067,1,Sodium- and chloride-dependent glycine transporter 1,SLC6A9,Homo sapiens,706,3D-structure; Alternative splicing; Amino-acid transport; Cell membrane; Disease variant; Membrane; Neurotransmitter transport; Phosphoprotein; Proteomics identification; Reference proteome; Symport; Transmembrane; Transmembrane helix; Transport
P48167,1,Glycine receptor subunit beta,GLRB,Homo sapiens,497,3D-structure; Alternative splicing; Cell membrane; Cell projection; Chloride; Chloride channel; Cytoplasm; Disease variant; Disulfide bond; Glycoprotein; Ion channel; Ion transport; Ligand-gated ion channel; Membrane; Phosphoprotein; Postsynaptic cell membrane; Proteomics identification; Receptor; Reference proteome; Signal; Synapse; Transmembrane; Transmembrane helix; Transport
P48169,1,Gamma-aminobutyric acid receptor subunit alpha-4,GABRA4,Homo sapiens,554,3D-structure; Cell membrane; Chloride; Chloride channel; Disulfide bond; Glycoprotein; Ion channel; Ion transport; Ligand-gated ion channel; Membrane; Postsynaptic cell membrane; Proteomics identification; Receptor; Reference proteome; Signal; Synapse; Transmembrane; Transmembrane helix; Transport
P48357,1,Leptin receptor,LEPR,Homo sapiens,1165,3D-structure; Alternative splicing; Cell membrane; Direct protein sequencing; Disulfide bond; Glycoprotein; Immunoglobulin domain; Membrane; Obesity; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Repeat; Secreted; Signal; Transmembrane; Transmembrane helix
P48551,1,Interferon alpha/beta receptor 2,IFNAR2,Homo sapiens,515,3D-structure; Alternative splicing; Cell membrane; Direct protein sequencing; Disulfide bond; Glycoprotein; Membrane; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Secreted; Signal; Transmembrane; Transmembrane helix
P48664,1,Excitatory amino acid transporter 4,SLC1A6,Homo sapiens,564,Alternative splicing; Amino-acid transport; Cell membrane; Chloride; Glycoprotein; Membrane; Metal-binding; Phosphoprotein; Potassium; Proteomics identification; Reference proteome; Sodium; Symport; Transmembrane; Transmembrane helix; Transport
P49146,1,Neuropeptide Y receptor type 2,NPY2R,Homo sapiens,381,3D-structure; Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Lipoprotein; Membrane; Palmitate; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
P49190,1,Parathyroid hormone 2 receptor,PTH2R,Homo sapiens,550,3D-structure; Cell membrane; G-protein coupled receptor; Glycoprotein; Membrane; Proteomics identification; Receptor; Reference proteome; Signal; Transducer; Transmembrane; Transmembrane helix
P49682,1,C-X-C chemokine receptor type 3,CXCR3,Homo sapiens,368,3D-structure; Alternative splicing; Angiogenesis; Apoptosis; Cell membrane; Chemotaxis; Disulfide bond; G-protein coupled receptor; Glycoprotein; Membrane; Proteomics identification; Receptor; Reference proteome; Sulfation; Transducer; Transmembrane; Transmembrane helix
P50391,1,Neuropeptide Y receptor type 4,NPY4R,Homo sapiens,375,3D-structure; Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Lipoprotein; Membrane; Palmitate; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
P51164,1,Potassium-transporting ATPase subunit beta,ATP4B,Homo sapiens,291,Cell adhesion; Cell membrane; Disulfide bond; Glycoprotein; Hydrogen ion transport; Ion transport; Membrane; Potassium; Potassium transport; Proteomics identification; Reference proteome; Signal-anchor; Transmembrane; Transmembrane helix; Transport
P51575,1,P2X purinoceptor 1,P2RX1,Homo sapiens,399,3D-structure; Apoptosis; ATP-binding; Cell membrane; Disulfide bond; Glycoprotein; Ion channel; Ion transport; Ligand-gated ion channel; Membrane; Nucleotide-binding; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Transmembrane; Transmembrane helix; Transport
P51582,1,P2Y purinoceptor 4,P2RY4,Homo sapiens,365,3D-structure; Cell membrane; Disulfide bond; G-protein coupled receptor; Membrane; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
P51679,1,C-C chemokine receptor type 4,CCR4,Homo sapiens,360,Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Membrane; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
P51681,1,C-C chemokine receptor type 5,CCR5,Homo sapiens,352,3D-structure; Cell membrane; Diabetes mellitus; Disulfide bond; G-protein coupled receptor; Glycoprotein; Host cell receptor for virus entry; Host-virus interaction; Lipoprotein; Membrane; Palmitate; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Sulfation; Transducer; Transmembrane; Transmembrane helix
P51693,1,Amyloid beta precursor like protein 1,APLP1,Homo sapiens,650,3D-structure; Alternative splicing; Apoptosis; Cell adhesion; Cell membrane; Copper; Cytoplasm; Disulfide bond; Endocytosis; Glycoprotein; Heparin-binding; Membrane; Metal-binding; Neurodegeneration; Proteomics identification; Reference proteome; Signal; Transmembrane; Transmembrane helix; Zinc
P53794,1,Sodium/myo-inositol cotransporter,SLC5A3,Homo sapiens,718,Cell membrane; Glycoprotein; Ion transport; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Sodium; Sodium transport; Symport; Transmembrane; Transmembrane helix; Transport
P53816,1,Phospholipase A and acyltransferase 3,PLAAT3,Homo sapiens,162,3D-structure; Cell membrane; Cytoplasm; Disease variant; Endoplasmic reticulum; Host-virus interaction; Hydrolase; Lipid degradation; Lipid metabolism; Lysosome; Membrane; Mitochondrion; Nucleus; Peroxisome; Proteomics identification; Reference proteome; Transferase; Transmembrane; Transmembrane helix
P54764,1,Ephrin type-A receptor 4,EPHA4,Homo sapiens,986,3D-structure; Alternative splicing; ATP-binding; Cell adhesion; Cell junction; Cell membrane; Cell projection; Developmental protein; Endosome; Glycoprotein; Kinase; Membrane; Neurogenesis; Nucleotide-binding; Phosphoprotein; Postsynaptic cell membrane; Proteomics identification; Receptor; Reference proteome; Repeat; Signal; Synapse; Transferase; Transmembrane; Transmembrane helix; Tyrosine-protein kinase
P55283,1,Cadherin-4,CDH4,Homo sapiens,916,Alternative splicing; Calcium; Cell adhesion; Cell membrane; Cleavage on pair of basic residues; Glycoprotein; Membrane; Metal-binding; Proteomics identification; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix
P55899,1,IgG receptor FcRn large subunit p51,FCGRT,Homo sapiens,365,3D-structure; Cell membrane; Direct protein sequencing; Disulfide bond; Endosome; Glycoprotein; IgG-binding protein; Immunoglobulin domain; Membrane; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Signal; Transmembrane; Transmembrane helix
P56748,1,Claudin-8,CLDN8,Homo sapiens,225,Cell junction; Cell membrane; Membrane; Proteomics identification; Reference proteome; Tight junction; Transmembrane; Transmembrane helix; Ubl conjugation
P57087,1,Junctional adhesion molecule B,JAM2,Homo sapiens,298,Alternative splicing; Cell junction; Cell membrane; Direct protein sequencing; Disease variant; Disulfide bond; Glycoprotein; Immunoglobulin domain; Membrane; Proteomics identification; Reference proteome; Signal; Tight junction; Transmembrane; Transmembrane helix
P58743,1,Prestin,SLC26A5,Homo sapiens,744,3D-structure; Alternative splicing; Cell membrane; Cell shape; Deafness; Glycoprotein; Hearing; Membrane; Motor protein; Non-syndromic deafness; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix
P60507,1,Endogenous retrovirus group FC1 Env polyprotein,ERVFC1,Homo sapiens,584,Cell membrane; Cleavage on pair of basic residues; Disulfide bond; ERV; Glycoprotein; Membrane; Reference proteome; Signal; Transmembrane; Transmembrane helix; Transposable element; Viral envelope protein; Virion
P60852,1,Zona pellucida sperm-binding protein 1,ZP1,Homo sapiens,638,Cell membrane; Cleavage on pair of basic residues; Disulfide bond; Extracellular matrix; Fertilization; Glycoprotein; Membrane; Proteomics identification; Reference proteome; Secreted; Signal; Transmembrane; Transmembrane helix
P78348,1,Acid-sensing ion channel 1,ASIC1,Homo sapiens,528,3D-structure; Alternative splicing; Calcium; Calcium transport; Cell membrane; Cell projection; Disulfide bond; Glycoprotein; Ion channel; Ion transport; Membrane; Phosphoprotein; Postsynaptic cell membrane; Proteomics identification; Reference proteome; Sodium; Sodium channel; Sodium transport; Synapse; Transmembrane; Transmembrane helix; Transport
Q01629,1,Interferon-induced transmembrane protein 2,IFITM2,Homo sapiens,132,Acetylation; Antiviral defense; Cell membrane; Endosome; Immunity; Innate immunity; Lipoprotein; Lysosome; Membrane; Palmitate; Phosphoprotein; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix
Q01650,1,Large neutral amino acids transporter small subunit 1,SLC7A5,Homo sapiens,507,3D-structure; Amino-acid transport; Cell membrane; Direct protein sequencing; Disulfide bond; Isopeptide bond; Lysosome; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport; Ubl conjugation
Q01959,1,Sodium-dependent dopamine transporter,SLC6A3,Homo sapiens,620,3D-structure; Cell membrane; Cell projection; Disease variant; Disulfide bond; Dystonia; Glycoprotein; Membrane; Metal-binding; Neurodegeneration; Neurotransmitter transport; Parkinsonism; Proteomics identification; Reference proteome; Sodium; Symport; Transmembrane; Transmembrane helix; Transport
Q02223,1,Tumor necrosis factor receptor superfamily member 17,TNFRSF17,Homo sapiens,184,3D-structure; Adaptive immunity; Alternative splicing; Cell membrane; Chromosomal rearrangement; Disulfide bond; Immunity; Membrane; Proteomics identification; Proto-oncogene; Receptor; Reference proteome; Signal-anchor; Transmembrane; Transmembrane helix
Q02487,1,Desmocollin-2,DSC2,Homo sapiens,901,3D-structure; Alternative splicing; Calcium; Cardiomyopathy; Cell adhesion; Cell junction; Cell membrane; Cleavage on pair of basic residues; Disease variant; Glycoprotein; Membrane; Metal-binding; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix
Q02763,1,Angiopoietin-1 receptor,TEK,Homo sapiens,1124,3D-structure; Alternative splicing; Angiogenesis; ATP-binding; Cell junction; Cell membrane; Cytoplasm; Cytoskeleton; Direct protein sequencing; Disease variant; Disulfide bond; EGF-like domain; Glaucoma; Glycoprotein; Immunoglobulin domain; Kinase; Membrane; Nucleotide-binding; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Repeat; Secreted; Signal; Transferase; Transmembrane; Transmembrane helix; Tyrosine-protein kinase; Ubl conjugation
Q03001,1,Dystonin,DST,Homo sapiens,7570,3D-structure; Actin-binding; Alternative promoter usage; Alternative splicing; Calcium; Cell adhesion; Cell junction; Cell membrane; Cell projection; Coiled coil; Cytoplasm; Cytoskeleton; Endoplasmic reticulum; Epidermolysis bullosa; Intermediate filament; Isopeptide bond; Lipoprotein; Membrane; Metal-binding; Microtubule; Muscle protein; Neurodegeneration; Neuropathy; Nucleus; Palmitate; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; SH3 domain; Transmembrane; Ubl conjugation
Q03431,1,Parathyroid hormone/parathyroid hormone-related peptide receptor,PTH1R,Homo sapiens,593,3D-structure; Cell membrane; Disease variant; Disulfide bond; Dwarfism; G-protein coupled receptor; Glycoprotein; Membrane; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Signal; Transducer; Transmembrane; Transmembrane helix
Q04609,1,Glutamate carboxypeptidase 2,FOLH1,Homo sapiens,750,3D-structure; Alternative splicing; Calcium; Carboxypeptidase; Cell membrane; Cytoplasm; Dipeptidase; Direct protein sequencing; Glycoprotein; Hydrolase; Membrane; Metal-binding; Metalloprotease; Multifunctional enzyme; Phosphoprotein; Protease; Proteomics identification; Reference proteome; Signal-anchor; Transmembrane; Transmembrane helix; Zinc
Q04656,1,Copper-transporting ATPase 1,ATP7A,Homo sapiens,1500,3D-structure; Alternative splicing; ATP-binding; Cell membrane; Cell projection; Copper; Copper transport; Cytoplasm; Disease variant; Endoplasmic reticulum; Endosome; Glycoprotein; Golgi apparatus; Ion transport; Magnesium; Membrane; Metal-binding; Neurodegeneration; Neuropathy; Nucleotide-binding; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Synapse; Translocase; Transmembrane; Transmembrane helix; Transport
Q05996,1,Zona pellucida sperm-binding protein 2,ZP2,Homo sapiens,745,3D-structure; Alternative splicing; Cell membrane; Cleavage on pair of basic residues; Disulfide bond; Extracellular matrix; Fertilization; Glycoprotein; Membrane; Proteomics identification; Receptor; Reference proteome; Secreted; Signal; Transmembrane; Transmembrane helix
Q06418,1,Tyrosine-protein kinase receptor TYRO3,TYRO3,Homo sapiens,890,3D-structure; ATP-binding; Cell adhesion; Cell membrane; Disulfide bond; Glycoprotein; Host cell receptor for virus entry; Host-virus interaction; Immunoglobulin domain; Kinase; Membrane; Nucleotide-binding; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Repeat; Signal; Transferase; Transmembrane; Transmembrane helix; Tyrosine-protein kinase
Q06432,1,Voltage-dependent calcium channel gamma-1 subunit,CACNG1,Homo sapiens,222,Calcium; Calcium channel; Calcium transport; Cell membrane; Disulfide bond; Glycoprotein; Ion channel; Ion transport; Membrane; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport; Voltage-gated channel
Q07011,1,Tumor necrosis factor receptor superfamily member 9,TNFRSF9,Homo sapiens,255,3D-structure; Cell membrane; Direct protein sequencing; Disulfide bond; Glycoprotein; Membrane; Proteomics identification; Receptor; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix
Q07075,1,Glutamyl aminopeptidase,ENPEP,Homo sapiens,957,3D-structure; Aminopeptidase; Calcium; Cell membrane; Direct protein sequencing; Disulfide bond; Glycoprotein; Hydrolase; Membrane; Metal-binding; Metalloprotease; Protease; Proteomics identification; Reference proteome; Signal-anchor; Transmembrane; Transmembrane helix; Zinc
Q08174,1,Protocadherin-1,PCDH1,Homo sapiens,1060,3D-structure; Alternative splicing; Calcium; Cell adhesion; Cell junction; Cell membrane; Glycoprotein; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix
Q08828,1,Adenylate cyclase type 1,ADCY1,Homo sapiens,1119,ATP-binding; Biological rhythms; Calmodulin-binding; cAMP biosynthesis; Cell membrane; Cytoplasm; Deafness; Glycoprotein; Lyase; Magnesium; Manganese; Membrane; Metal-binding; Non-syndromic deafness; Nucleotide-binding; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Transmembrane; Transmembrane helix
Q08ET2,1,Sialic acid-binding Ig-like lectin 14,SIGLEC14,Homo sapiens,396,Cell adhesion; Cell membrane; Disulfide bond; Glycoprotein; Immunoglobulin domain; Lectin; Membrane; Proteomics identification; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix
Q0GE19,1,Sodium/bile acid cotransporter 7,SLC10A7,Homo sapiens,340,Alternative splicing; Amelogenesis imperfecta; Cell membrane; Disease variant; Dwarfism; Endoplasmic reticulum; Golgi apparatus; Ion transport; Membrane; Proteomics identification; Reference proteome; Sodium; Sodium transport; Symport; Transmembrane; Transmembrane helix; Transport
Q12791,1,Calcium-activated potassium channel subunit alpha-1,KCNMA1,Homo sapiens,1236,3D-structure; Alternative splicing; Calcium; Cell membrane; Disease variant; Epilepsy; Ion channel; Ion transport; Lipoprotein; Magnesium; Membrane; Metal-binding; Palmitate; Phosphoprotein; Potassium; Potassium channel; Potassium transport; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport; Voltage-gated channel
Q12884,1,Prolyl endopeptidase FAP,FAP,Homo sapiens,760,3D-structure; Alternative splicing; Angiogenesis; Apoptosis; Cell adhesion; Cell junction; Cell membrane; Cell projection; Cleavage on pair of basic residues; Cytoplasm; Direct protein sequencing; Disulfide bond; Glycoprotein; Hydrolase; Membrane; Protease; Proteomics identification; Reference proteome; Secreted; Serine protease; Signal-anchor; Transmembrane; Transmembrane helix
